base,esquema,tipo,nombre
catastro_gdl,informix,SP,conveniosempresas
catastro_gdl,informix,SP,corrige1
catastro_gdl,informix,SP,corrige3
catastro_gdl,informix,SP,corrige_sal99
catastro_gdl,informix,SP,coveringinfoinput
catastro_gdl,informix,SP,coveringinfooutput
catastro_gdl,informix,SP,crea_regs
catastro_gdl,informix,SP,crea_tmpcompara
catastro_gdl,informix,SP,crea_tmpconst
catastro_gdl,informix,SP,crea_tmpindiviso
catastro_gdl,informix,SP,crea_tmpproy
catastro_gdl,informix,SP,crea_tmprecgos
catastro_gdl,informix,SP,crea_tmprecgosx
catastro_gdl,informix,SP,crea_tmpvalade
catastro_gdl,informix,SP,creaavaluo
catastro_gdl,informix,SP,creaavaluo
catastro_gdl,informix,SP,creaavaluo
catastro_gdl,informix,SP,creaconstruccion
catastro_gdl,informix,SP,ctapub_pres
catastro_gdl,informix,SP,ctapub_pres1
catastro_gdl,informix,SP,ctapub_pres2
catastro_gdl,informix,SP,cuentapublica_midnight
catastro_gdl,informix,SP,data14_loss
catastro_gdl,informix,SP,data14_loss_rep
catastro_gdl,informix,SP,deepcopy
catastro_gdl,informix,SP,deepcopy
catastro_gdl,informix,SP,deepcopy
catastro_gdl,informix,SP,deepcopy
catastro_gdl,informix,SP,deepcopy
catastro_gdl,informix,SP,deepcopy
catastro_gdl,informix,SP,deepcopy
catastro_gdl,informix,SP,del_dpp
catastro_gdl,informix,SP,del_dpp1
catastro_gdl,informix,SP,del_dpp2
catastro_gdl,informix,SP,delsdoscero
catastro_gdl,informix,SP,desarrollo
catastro_gdl,informix,SP,desbloqueolic
catastro_gdl,informix,SP,desc75auto
catastro_gdl,informix,SP,desc_recmul08auto
catastro_gdl,informix,SP,descedocuenta
