base,esquema,tipo,nombre,base_destino_postgresql,esquema_destino,sin_destino,sistemas_uso
catastro_gdl,informix,SP,c_predial2_web,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial2_web17,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial2_web19,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial2_web19x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial2_webbim,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_predial3_webbim,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_wspredial1_banc1,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_wspredial1_banco,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_wspredial1_bbva,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_wspredial1_bbva3,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_wspredial2_banco,padron_licencias,comun,NO,
catastro_gdl,informix,SP,c_wspredial2_bbva,padron_licencias,comun,NO,
catastro_gdl,informix,SP,caj_aplicabancos,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_adeudospred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_adeudospred2,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_cancpred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_datospred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_dectopred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_detpago2,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_exc_pagoadmin,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_noadeudoca,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_noadeudoco,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_noadeudopg,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_pagpred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_pub_pagoadmin,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_totalespred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_totalesprednvo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_totalesprednvo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_totalesprednvo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_totaltrans,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_transpatco,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cajero_transpatpg,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cal_conc_adelic_axo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cal_descto_acum,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cal_ind_adeudo_axo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cal_ind_adeudo_axo2,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cal_ind_adeudo_axolic,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cal_ind_aduedo_cartera,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cal_ind_pagopred_virt,padron_licencias,comun,NO,
catastro_gdl,informix,SP,cal_ind_pred,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_actlic,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_actualizacion,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_actualizacion_lic,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_actualizacionf,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_actualizacionf_anual,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_adeudoanun,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_adeudoanun_ri,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_adeudoanun_rix,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_adeudoanun2,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_adeudoanunx,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_adeudolic,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_adeudolic_ri,padron_licencias,comun,NO,
catastro_gdl,informix,SP,calc_adeudolic_ri2,padron_licencias,comun,NO,
